,intro times,intro freqs,intro lengths,post locs,,,,,,,,,,,,,,
19,75.7,79,15,"[73, 10, 12][160, 16, 12][93, 17, 6][187, 17, 12][113, 20, 12][150, 26, 12][74, 27, 12][111, 35, 11][149, 36, 11][67, 37, 6][231, 37, 12][188, 39, 12][235, 47, 12][188, 49, 12][115, 50, 6][153, 50, 12][277, 54, 8][110, 60, 7]",,,,,,,,,,,,,,
20,82,126,15,"[123, 10, 12][202, 17, 12][222, 18, 12][242, 18, 10][262, 19, 12][293, 19, 9][124, 20, 9][156, 26, 6][177, 26, 12][197, 27, 12][217, 28, 12][255, 29, 12][303, 29, 6][129, 30, 9][275, 30, 12][261, 40, 10][307, 41, 6][74, 43, 7][125, 45, 8][197, 45, 10][159, 47, 12][259, 50, 6][210, 55, 10][168, 57, 6]",,,,,,,,,,,,,,
21,86.5,43,15,"[42, 10, 12][84, 18, 12][135, 18, 12][200, 18, 7][104, 21, 12][80, 28, 12][137, 28, 12][172, 33, 12][203, 33, 9][125, 38, 12][145, 38, 12][180, 43, 12][93, 44, 8][133, 48, 12][208, 50, 8][229, 51, 12][179, 53, 9][82, 55, 8][133, 58, 10]",,,,,,,,,,,,,,
22,92.7,252,15,"[250, 10, 12][270, 19, 6][347, 20, 6][263, 30, 8][353, 30, 6][296, 31, 6][316, 32, 9][481, 35, 8][417, 37, 8][217, 41, 12][262, 48, 6][313, 50, 7]",,,,,,,,,,,,,,
23,98,58,15,"[55, 10, 12][194, 16, 9][215, 16, 12][235, 16, 12][161, 18, 12][58, 24, 7][223, 26, 12][145, 28, 6][165, 28, 12][198, 32, 12][244, 35, 6][218, 36, 12][264, 36, 11][157, 38, 12][115, 39, 12][198, 46, 9][153, 48, 6][106, 49, 8][84, 51, 9]",,,,,,,,,,,,,,
24,102.9,126,15,"[122, 10, 12][200, 18, 12][220, 19, 12][242, 19, 8][122, 20, 12][262, 20, 12][282, 20, 7][147, 27, 9][167, 27, 12][187, 28, 6][207, 29, 12][127, 30, 9][256, 30, 12][300, 30, 6][276, 31, 12][228, 32, 8][262, 41, 10][347, 46, 6][202, 47, 12][129, 48, 10][162, 49, 10][316, 54, 7][251, 55, 8][198, 57, 8][170, 59, 8]",,,,,,,,,,,,,,
25,107.7,208,15,"[198, 10, 12][204, 20, 12][224, 20, 10][278, 20, 12][298, 22, 9][172, 27, 12][142, 29, 10][208, 30, 12][267, 30, 8][229, 32, 10][287, 32, 10][396, 33, 8][334, 35, 12][162, 37, 9][458, 44, 7][470, 54, 6]",,,,,,,,,,,,,,
26,112.4,79,15,"[72, 10, 12][155, 17, 12][177, 18, 10][197, 18, 12][119, 20, 12][79, 27, 12][142, 27, 12][118, 30, 6][68, 37, 7][147, 37, 10][222, 38, 6][242, 39, 12][116, 40, 7][182, 41, 10][202, 41, 12][281, 44, 7][156, 51, 12][191, 51, 11][118, 52, 6][238, 52, 9][277, 56, 6][153, 61, 7][113, 62, 6][231, 63, 8]",,,,,,,,,,,,,,
27,117.3,100,15,"[99, 10, 12][166, 17, 12][189, 17, 12][273, 22, 12][124, 23, 6][144, 23, 12][215, 23, 6][242, 23, 12][164, 27, 6][184, 27, 8][279, 32, 12][227, 33, 12][247, 33, 12][278, 42, 12][233, 43, 12][168, 44, 12][131, 46, 12][278, 52, 6][227, 53, 9][176, 58, 7]",,,,,,,,,,,,,,
28,121.9,271,15,"[271, 10, 12][421, 22, 11][343, 27, 12][335, 37, 6][236, 38, 8][272, 44, 9]",,,,,,,,,,,,,,
