Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
101	Spectrogram 1	1	464.651697954	465.051697954	4886.401	5686.401
102	Spectrogram 1	1	468.111450240	468.511450240	1484.155	2284.155
103	Spectrogram 1	1	474.496899090	474.896899090	4455.737	5255.737
104	Spectrogram 1	1	478.792564680	479.192564680	1591.821	2391.821
105	Spectrogram 1	1	484.504638924	484.904638924	2130.151	2930.151
106	Spectrogram 1	1	488.405567676	488.805567676	1430.322	2230.322
107	Spectrogram 1	1	493.188849360	493.588849360	4401.904	5201.904
108	Spectrogram 1	1	496.996898856	497.396898856	1914.819	2714.819
109	Spectrogram 1	1	504.264700638	504.664700638	2022.485	2822.485
111	Spectrogram 1	1	514.109901774	514.509901774	4778.735	5578.735
112	Spectrogram 1	1	517.383895548	517.783895548	1807.153	2607.153
113	Spectrogram 1	1	525.696588960	526.096588960	1699.487	2499.487
114	Spectrogram 1	1	531.037146180	531.437146180	2560.815	3360.815
116	Spectrogram 1	1	541.044886014	541.444886014	2237.817	3037.817
117	Spectrogram 1	1	545.015474208	545.415474208	4886.401	5686.401
118	Spectrogram 1	1	547.871511330	548.271511330	2022.485	2822.485
119	Spectrogram 1	1	551.958198594	552.358198594	1860.986	2660.986
120	Spectrogram 1	1	557.414854884	557.814854884	1591.821	2391.821
121	Spectrogram 1	1	562.499994150	562.899994150	2506.982	3306.982
123	Spectrogram 1	1	569.976774258	570.376774258	1699.487	2499.487
124	Spectrogram 1	1	573.854483196	574.254483196	4778.735	5578.735
125	Spectrogram 1	1	580.611449070	581.011449070	1430.322	2230.322
126	Spectrogram 1	1	585.162532614	585.562532614	4455.737	5255.737
127	Spectrogram 1	1	588.506185830	588.906185830	2022.485	2822.485
128	Spectrogram 1	1	593.010829746	593.410829746	1968.652	2768.652
129	Spectrogram 1	1	596.377702776	596.777702776	2453.149	3253.149
130	Spectrogram 1	1	26.170598177	26.572608227	1701.681	2212.185
131	Spectrogram 1	1	30.473361996	30.762306719	4537.815	5086.134
132	Spectrogram 1	1	405.215819791	405.454513258	1890.756	2495.798
133	Spectrogram 1	1	447.615316811	447.960794198	4972.689	5539.916
134	Spectrogram 1	1	534.267325797	534.612803184	1455.882	2079.832
